Title,URL,Genre,Plays,Plays for sorting,Publish Date
Parking Jam,https://www.youtube.com/playables/UgkxMVLzbQGSlLO1s24n9iT4vMJHaGz7jpqA,Brain and puzzle,20 million plays,20000000,22 Oct 2024
Om Nom Run,https://www.youtube.com/playables/UgkxiSWh_UPnG4BImBX7gI3KVDLxT2Wm1PiJ,Arcade,20 million plays,20000000,15 Aug 2023
Basket Battle,https://www.youtube.com/playables/Ugkx1s2VGH_7yX41k3D3p_aLeqBqZ2DGF9hf,Sport,19 million plays,19000000,10 Sept 2024
Epic Sword Battle! Fight in the Ragdoll Arena!,https://www.youtube.com/playables/Ugkx8926kBIRXQu-7myzP9rC4cN9K8SB5QBK,Action,19 million plays,19000000,3 Mar 2026
AMAZE!,https://www.youtube.com/playables/UgkxUoLrmZDFP9DVVq0Jb4Ty3Afx80bBUovv,Brain and puzzle,19 million plays,19000000,19 Dec 2023
Stacky Dash,https://www.youtube.com/playables/UgkxabnI9-EeP8kkKimFtn-IAclqyQFmK_j0,Brain and puzzle,18 million plays,18000000,3 Sept 2024
Fun Ragdoll Challenge! Mini Games Collection!,https://www.youtube.com/playables/Ugkx-_QJ2yCImDxMRuTVuA3uM5Ar2v0MtLd2,Simulation,18 million plays,18000000,30 Apr 2026
Fashion Princess - Dress Up for Girls,https://www.youtube.com/playables/Ugkx_p25Xqeotr9vvgJgXKFl5ms3sAZfdt7j,Simulation,Dress Up for Girls – 18 million plays,18000000,24 Mar 2026
Coffee Stack,https://www.youtube.com/playables/UgkxY1ZmyWZ-77lAOKR9uCQsOKe5v3fkIVl0,Racing,18 million plays,18000000,22 Oct 2025
Paper.io 2,https://www.youtube.com/playables/UgkxJuWC7NuXgP2-g3P5wL-wQilDuI81Plyd,Arcade,18 million plays,18000000,27 Aug 2024
Bazooka Boy,https://www.youtube.com/playables/UgkxMYb8szzWt5VeS7WoQoXGi1NE6p3GWsYM,Action,18 million plays,18000000,27 Feb 2024
Mob Control HTML5,https://www.youtube.com/playables/UgkxkE_F3Vax51gnZbVhyiD-NdmIZYf5-dP5,Action,18 million plays,18000000,23 Jan 2024
8 Ball Billiards Classic,https://www.youtube.com/playables/UgkxrMWCETUzrZskkwqOywiZZ-xjKNjqR5YQ,Sport,18 million plays,18000000,15 Aug 2023
Farm Land,https://www.youtube.com/playables/Ugkxsk_eNi3xerLPa1SuoUIftBIWxzlTCbAN,Simulation,17 million plays,17000000,28 Sept 2023
Pou,https://www.youtube.com/playables/UgkxILTVS0T0qsRorQmdd1OhPDkCI4cinIiu,Simulation,17 million plays,17000000,12 Nov 2024
Lunch Box Ready,https://www.youtube.com/playables/UgkxIVn1k9VWWC8SuuRYORPew8ByV7KJhUFp,Simulation,17 million plays,17000000,30 Apr 2024
Draw Bridge — Brain Game,https://www.youtube.com/playables/Ugkx1kIk5VWSM6C-fsFy2F98Lf1fc3ZNlBqI,Brain and puzzle,16 million plays,16000000,27 Apr 2026
Satisdom,https://www.youtube.com/playables/Ugkx9AqIHXEy1VSmCJWSj5oWo4rJliZUgNPX,Brain and puzzle,16 million plays,16000000,7 Jan 2025
Knock'em All,https://www.youtube.com/playables/UgkxR7Y74YsCcDK04Jggq9fDR2wRhviu8F9_,Action,16 million plays,16000000,19 Dec 2023
Stack Bounce,https://www.youtube.com/playables/UgkxHHtsak1SC8mRGHMZewc4HzeAY3yhPPmJ,Arcade,16 million plays,16000000,15 Jun 2023
Bottle Jump 3D,https://www.youtube.com/playables/UgkxNJ1SJnFCVoE_CE7Iv8kAyra-6TVcT33N,Action,15 million plays,15000000,30 Jul 2024
Find the Vampire,https://www.youtube.com/playables/UgkxwaysSvvrMFGTEeoenxpWKbuvFhV87hNo,Action,14 million plays,14000000,23 Sept 2025
City Smash,https://www.youtube.com/playables/UgkxveZYQVnP2Y2pdE54TBHM52tn14pl-Y8l,Simulation,14 million plays,14000000,29 Jul 2025
Bowmasters,https://www.youtube.com/playables/UgkxvbtEWcHGpsA0ROaS7QLgh9rlcLw9aKQF,Action,14 million plays,14000000,11 Feb 2025
Guess Their Answer,https://www.youtube.com/playables/UgkxALPyLFG5NFuZND9ChTdbB76gL97g_ILt,Brain and puzzle,14 million plays,14000000,6 Aug 2024
Wood Nuts & Bolts,https://www.youtube.com/playables/UgkxoDzPFlDzIEqNDQBG4dDTvhdUd3ICMl8q,Brain and puzzle,14 million plays,14000000,4 Jun 2024
Merge Master,https://www.youtube.com/playables/Ugkx77Zleo4A6MThiMpKWLI4OuyvzMMoEv-p,Arcade,14 million plays,14000000,30 Jan 2024
Daily Solitaire,https://www.youtube.com/playables/Ugkxb0tntcsC8v4im93WkkwRej9-_lE-TDx-,Board and card,14 million plays,14000000,28 Jul 2023
ASMR Mini Games,https://www.youtube.com/playables/Ugkx5xXnRx_9TR-Hy7kTXMbC62HXrx2NYi_I,Simulation,13 million plays,13000000,16 Jun 2026
Extreme Car Driving Simulator,https://www.youtube.com/playables/Ugkx0AYmwYo1Hq56hOdKpjRUC1_1xbMjdr_F,Racing,13 million plays,13000000,9 Jun 2026
Pick Me Up 3D: Taxi Game,https://www.youtube.com/playables/UgkxMe_sUwJAY6mFS8LKpcdgkULFuar931L9,Racing,13 million plays,13000000,3 Feb 2026
Downhill Racer,https://www.youtube.com/playables/UgkxgMOIkm4OeOIKqmxA5yRbE9nu8f_jWRHT,Racing,13 million plays,13000000,11 Nov 2025
Crossy Road,https://www.youtube.com/playables/Ugkxy0lb6paveolUcuucnKbsUDYGm1ZK7plA,Arcade,13 million plays,13000000,25 Feb 2025
Harvest.io,https://www.youtube.com/playables/UgkxnEOEdyjMRwzuaOCNlMYD8q8dS0jubTXv,Simulation,13 million plays,13000000,26 Nov 2024
Mahjongg Solitaire,https://www.youtube.com/playables/UgkxQzSEDZ2AXyZuv7ucRJ2_bPWPSx8KAlI1,Board and card,13 million plays,13000000,15 Oct 2024
Bolly Beat,https://www.youtube.com/playables/UgkxkuadeVb9hZneZfe3ztf1qn6Y-rL6Aqij,Music,12 million plays,12000000,10 Sept 2024
Shape Transforming: Shifting Run,https://www.youtube.com/playables/Ugkxa2OxoZHIAvirquwqtZsxFUSa-Byp960p,Racing,12 million plays,12000000,24 Apr 2026
Evolution Simulator,https://www.youtube.com/playables/UgkxxJFnJx0jogPkEtc1bICU4EL2rbUW8kE5,Simulation,12 million plays,12000000,22 Apr 2026
Jelly Run 2048,https://www.youtube.com/playables/UgkxnqQA2hp9i2IsMbql4X126y5d4l5et47i,Brain and puzzle,12 million plays,12000000,21 Apr 2026
Pizza Ready!,https://www.youtube.com/playables/UgkxgTHfrokstF4a2eJy8cWYSPE268wi9Qyc,Arcade,12 million plays,12000000,3 Mar 2026
Sprunki Beat: Full Mod Music!,https://www.youtube.com/playables/Ugkx32bEdzhNoHhjwn7kL3Nyl6JepVHzpGaQ,Music,12 million plays,12000000,27 Jan 2026
Mechangelion - Robot Fighting,https://www.youtube.com/playables/Ugkx4VMTpA2x9JpAEMJ26bGmfOXDbS-VILPI,Action,Robot Fighting – 12 million plays,12000000,23 Apr 2024
Today's Hurdle,https://www.youtube.com/playables/Ugkx50b0MgNtw5-tLByRcmclUYxr_TUmouLk,Trivia and word,12 million plays,12000000,26 Jul 2023
MR RACER - Car Racing,https://www.youtube.com/playables/UgkxQ_WwKAh6jvaL23GKRLd-NxGZsvXbMzqv,Racing,Car Racing – 11 million plays,11000000,23 Sept 2025
